cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
2518,233,25,5,8
2519,233,27,12,6
2520,233,15,10,7
2521,233,29,1,9
2522,233,18,0,10
2523,233,28,0,11
2524,233,17,13,5
2525,234,3,125,1
2526,234,6,38,3
2527,234,22,47,2
2528,234,1,34,4
2529,234,25,5,8
2530,234,27,12,6
2531,234,15,10,7
2532,234,29,1,9
2533,234,18,0,10
2534,234,28,0,11
2535,234,17,14,5
2536,235,3,141,1
2537,235,6,38,3
2538,235,22,51,2
2539,235,1,37,4
2540,235,25,5,8
2541,235,27,14,6
2542,235,15,10,7
2543,235,29,1,9
2544,235,18,0,10
2545,235,28,0,11
2546,235,17,15,5
2547,236,3,149,1
2548,236,6,48,3
2549,236,22,55,2
2550,236,1,41,4
2551,236,25,5,8
2552,236,27,14,6
2553,236,15,10,7
2554,236,29,1,9
2555,236,18,0,10
2556,236,28,0,11
2557,236,17,15,5
2558,237,3,149,1
2559,237,6,58,3
2560,237,22,61,2
2561,237,1,45,4
2562,237,25,5,8
2563,237,27,15,6
2564,237,15,10,7
2565,237,29,1,9
2566,237,18,0,10
2567,237,28,0,11
2568,237,17,20,5
2569,238,3,165,1
2570,238,6,64,3
2571,238,22,65,2
2572,238,1,45,4
2573,238,25,5,8
2574,238,27,15,6
2575,238,15,10,7
2576,238,29,1,9
2577,238,18,0,10
2578,238,28,0,11
2579,238,17,20,5
2580,239,3,175,1
2581,239,6,70,2
2582,239,22,68,3
2583,239,1,49,4
2584,239,25,5,8
2585,239,27,15,6
2586,239,15,11,7
2587,239,29,1,9
2588,239,18,0,10
2589,239,28,0,11
2590,239,17,22,5
3247,289,3,16,1
3248,289,1,6,2
3249,289,22,3,3
3250,289,32,1,4
3251,289,27,0,5
3252,289,29,0,6
3253,289,17,0,7
3254,289,33,0,8
3255,289,34,0,9
3256,290,3,32,1
3257,290,1,9,2
3258,290,22,7,3
3259,290,32,2,5
3260,290,27,0,6
3261,290,29,0,7
3262,290,17,0,10
3263,290,33,0,9
3264,290,34,0,11
3265,290,25,2,4
3266,290,35,0,8
3267,291,3,48,1
3268,291,1,9,3
3269,291,22,11,2
3270,291,32,2,6
3271,291,27,0,8
3272,291,29,1,7
3273,291,17,0,12
3274,291,33,0,11
3275,291,34,0,13
3276,291,25,2,5
3277,291,35,0,10
3278,291,6,5,4
3279,291,18,0,9
3308,292,3,58,1
3309,292,1,12,3
3310,292,22,17,2
3311,292,32,2,7
3312,292,27,0,9
3313,292,29,3,5
3314,292,17,0,13
3315,292,33,0,12
3316,292,34,0,14
3317,292,25,2,6
3318,292,35,1,8
3319,292,6,9,4
3320,292,18,0,10
3321,292,37,0,11
3322,293,3,74,1
3323,293,1,16,3
3324,293,22,20,2
3325,293,32,2,7
3326,293,27,0,9
3327,293,29,5,5
3328,293,17,0,10
3329,293,33,0,13
3330,293,34,0,14
3331,293,25,2,6
3332,293,35,2,8
3333,293,6,9,4
3334,293,18,0,11
3335,293,37,0,12
3336,294,3,84,1
3337,294,1,26,2
3338,294,22,25,3
3339,294,32,2,7
3340,294,27,0,11
3341,294,29,5,5
3342,294,17,0,12
3343,294,33,1,9
3344,294,34,0,14
3345,294,25,2,6
3346,294,35,2,8
3347,294,6,9,4
3348,294,18,0,10
3349,294,37,0,13
3350,295,3,84,1
3351,295,1,36,2
3352,295,22,31,3
3353,295,32,2,8
3354,295,27,1,10
3355,295,29,5,5
3356,295,17,0,13
3357,295,33,1,11
3358,295,34,0,14
3359,295,25,4,6
3360,295,35,2,9
3361,295,6,13,4
3362,295,18,0,12
3363,295,37,3,7
3364,296,3,100,1
3365,296,1,36,2
3366,296,22,35,3
3367,296,32,6,5
3368,296,27,3,9
3369,296,29,5,6
3370,296,17,0,13
3371,296,33,1,11
3372,296,34,0,14
3373,296,25,4,7
3374,296,35,2,10
3375,296,6,13,4
3376,296,18,0,12
3377,296,37,3,8
3378,297,3,116,1
3379,297,1,38,3
3380,297,22,42,2
3381,297,32,7,5
3382,297,27,3,9
3383,297,29,5,6
3384,297,17,0,13
3385,297,33,1,11
3386,297,34,0,14
3387,297,25,4,7
3388,297,35,2,10
3389,297,6,13,4
3390,297,18,0,12
3391,297,37,3,8
3392,297,36,0,15
3393,298,3,126,1
3394,298,1,44,3
3395,298,22,49,2
3396,298,32,7,5
3397,298,27,4,8
3398,298,29,5,6
3399,298,17,0,13
3400,298,33,1,11
3401,298,34,0,14
3402,298,25,4,7
3403,298,35,2,10
3404,298,6,15,4
3405,298,18,0,12
3406,298,37,3,9
3407,298,36,0,15
3408,299,3,132,1
3409,299,1,58,2
3410,299,22,51,3
3411,299,32,10,5
3412,299,27,4,8
3413,299,29,5,6
3414,299,17,0,13
3415,299,33,1,11
3416,299,34,0,14
3417,299,25,4,7
3418,299,35,2,10
3419,299,6,16,4
3420,299,18,0,12
3421,299,37,3,9
3422,299,36,0,15
3423,300,3,142,1
3424,300,1,60,3
3425,300,22,64,2
3426,300,32,11,5
3427,300,27,4,8
3428,300,29,5,6
3429,300,17,0,13
3430,300,33,1,11
3431,300,34,0,15
3432,300,25,4,7
3433,300,35,2,10
3434,300,6,16,4
3435,300,18,0,12
3436,300,37,3,9
3437,300,36,0,14
3438,301,3,144,1
3439,301,1,73,3
3440,301,22,74,2
3441,301,32,11,5
3442,301,27,4,8
3443,301,29,5,6
3444,301,17,0,13
3445,301,33,1,11
3446,301,34,0,15
3447,301,25,5,7
3448,301,35,2,10
3449,301,6,16,4
3450,301,18,0,12
3451,301,37,3,9
3452,301,36,0,14
3453,302,3,154,1
3454,302,1,83,2
3455,302,22,77,3
3456,302,32,13,5
3457,302,27,4,8
3458,302,29,6,6
3459,302,17,0,13
3460,302,33,1,11
3461,302,34,0,15
3462,302,25,5,7
3463,302,35,2,10
3464,302,6,16,4
3465,302,18,0,12
3466,302,37,3,9
3467,302,36,0,14
3468,303,3,164,1
3469,303,1,89,2
3470,303,22,81,3
3471,303,32,13,5
3472,303,27,4,8
3473,303,29,6,7
3474,303,17,0,13
3475,303,33,1,12
3476,303,34,0,15
3477,303,25,8,6
3478,303,35,2,10
3479,303,6,18,4
3480,303,18,1,11
3481,303,37,3,9
3482,303,36,0,14
3483,304,3,164,1
3484,304,1,99,2
3485,304,22,91,3
3486,304,32,13,5
3487,304,27,6,8
3488,304,29,6,7
3489,304,17,1,11
3490,304,33,1,13
3491,304,34,0,15
3492,304,25,8,6
3493,304,35,2,10
3494,304,6,21,4
3495,304,18,1,12
3496,304,37,3,9
3497,304,36,0,14
4038,1,23,18,1
4039,1,7,11,2
4040,1,4,4,3
4041,1,3,3,4
4042,1,5,3,5
4043,1,10,0,6
4044,1,2,0,7
4045,1,9,0,8
4046,1,6,0,9
4635,273,3,10,1
4636,273,1,6,2
4637,273,27,4,3
4638,273,18,3,4
4639,273,15,2,5
4640,273,6,1,6
4641,273,29,0,7
4642,274,3,16,2
4643,274,1,16,1
4644,274,27,6,3
4645,274,18,3,6
4646,274,15,2,7
4647,274,6,1,8
4648,274,29,0,9
4649,274,22,4,4
4650,274,32,4,5
4651,274,33,0,10
4652,274,26,0,11
4653,275,3,26,2
4654,275,1,26,1
4655,275,27,6,5
4656,275,18,4,6
4657,275,15,2,7
4658,275,6,1,8
4659,275,29,0,10
4660,275,22,6,4
4661,275,32,7,3
4662,275,33,0,9
4663,275,26,0,12
4664,275,17,0,11
4665,276,3,36,1
4666,276,1,26,2
4667,276,27,10,4
4668,276,18,5,7
4669,276,15,5,6
4670,276,6,1,9
4671,276,29,0,10
4672,276,22,12,3
4673,276,32,7,5
4674,276,33,2,8
4675,276,26,0,11
4676,276,17,0,12
4677,277,3,46,1
4678,277,1,34,2
4679,277,27,10,4
4680,277,18,5,7
4681,277,15,5,6
4682,277,6,2,9
4683,277,29,0,10
4684,277,22,19,3
4685,277,32,7,5
4686,277,33,2,8
4687,277,26,0,11
4688,277,17,0,12
4689,278,3,55,1
4690,278,1,44,2
4691,278,27,11,4
4692,278,18,7,6
4693,278,15,5,8
4694,278,6,6,7
4695,278,29,0,10
4696,278,22,19,3
4697,278,32,7,5
4698,278,33,2,9
4699,278,26,0,11
4700,278,17,0,12
4701,278,25,0,13
4702,279,3,69,1
4703,279,1,44,2
4704,279,27,13,4
4705,279,18,7,7
4706,279,15,6,8
4707,279,6,9,5
4708,279,29,0,10
4709,279,22,25,3
4710,279,32,7,6
4711,279,33,2,9
4712,279,26,0,11
4713,279,17,0,12
4714,279,25,0,13
4715,280,3,85,1
4716,280,1,48,2
4717,280,27,15,4
4718,280,18,7,7
4719,280,15,6,8
4720,280,6,9,5
4721,280,29,0,10
4722,280,22,29,3
4723,280,32,7,6
4724,280,33,2,9
4725,280,26,0,12
4726,280,17,0,11
4727,280,25,0,13
4728,281,3,95,1
4729,281,1,50,2
4730,281,27,15,4
4731,281,18,7,7
4732,281,15,6,8
4733,281,6,9,6
4734,281,29,1,10
4735,281,22,39,3
4736,281,32,10,5
4737,281,33,2,9
4738,281,26,0,12
4739,281,17,0,11
4740,281,25,0,13
4741,282,3,105,1
4742,282,1,53,2
4743,282,27,19,4
4744,282,18,7,7
4745,282,15,6,8
4746,282,6,10,5
4747,282,29,1,10
4748,282,22,47,3
4749,282,32,10,6
4750,282,33,2,9
4751,282,26,0,12
4752,282,17,0,11
4753,282,25,0,13
4754,283,3,115,1
4755,283,1,53,2
4756,283,27,21,4
4757,283,18,7,7
4758,283,15,7,8
4759,283,6,14,5
