race_ID,constructor_ID,year,round,circuit_name,constructor_name,entries,points,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,is_miami,is_mclaren,is_2026_current_form
16,5,2009,16,Brazilian Grand Prix,Toro Rosso,2,2.0,9.0,10.5,-1.5,1,0.5,0,0.0,0,0,0,0,0
17,1,2009,17,Abu Dhabi Grand Prix,McLaren,2,0.0,9.5,15.0,-5.5,1,0.5,1,0.5,0,0,0,1,0
17,2,2009,17,Abu Dhabi Grand Prix,BMW Sauber,2,4.0,7.5,7.5,0.0,2,1.0,0,0.0,0,0,0,0,0
17,3,2009,17,Abu Dhabi Grand Prix,Williams,2,0.0,11.0,11.0,0.0,1,0.5,0,0.0,0,0,0,0,0
17,4,2009,17,Abu Dhabi Grand Prix,Renault,2,0.0,17.0,16.0,1.0,0,0.0,0,0.0,0,0,0,0,0
17,6,2009,17,Abu Dhabi Grand Prix,Ferrari,2,0.0,15.5,14.0,1.5,0,0.0,0,0.0,0,0,0,0,0
17,7,2009,17,Abu Dhabi Grand Prix,Toyota,2,5.0,9.0,6.5,2.5,1,0.5,0,0.0,0,0,0,0,0
17,10,2009,17,Abu Dhabi Grand Prix,Force India,2,0.0,16.5,16.0,0.5,0,0.0,0,0.0,0,0,0,0,0
17,9,2009,17,Abu Dhabi Grand Prix,Red Bull,2,18.0,2.5,1.5,1.0,2,1.0,0,0.0,2,1,0,0,0
17,23,2009,17,Abu Dhabi Grand Prix,Brawn,2,11.0,4.5,3.5,1.0,2,1.0,0,0.0,1,0,0,0,0
17,5,2009,17,Abu Dhabi Grand Prix,Toro Rosso,2,1.0,12.0,14.0,-2.0,1,0.5,1,0.5,0,0,0,0,0
18,1,2008,1,Australian Grand Prix,McLaren,2,14.0,2.0,3.0,-1.0,2,1.0,0,0.0,1,1,0,1,0
18,2,2008,1,Australian Grand Prix,BMW Sauber,2,8.0,3.5,5.5,-2.0,2,1.0,1,0.5,1,0,0,0,0
18,3,2008,1,Australian Grand Prix,Williams,2,9.0,10.0,4.5,5.5,1,0.5,0,0.0,1,0,0,0,0
18,4,2008,1,Australian Grand Prix,Renault,2,5.0,15.5,8.0,7.5,0,0.0,1,0.5,0,0,0,0,0
18,5,2008,1,Australian Grand Prix,Toro Rosso,2,2.0,13.0,13.5,-0.5,0,0.0,2,1.0,0,0,0,0,0
18,6,2008,1,Australian Grand Prix,Ferrari,2,1.0,9.5,10.5,-1.0,1,0.5,2,1.0,0,0,0,0,0
18,7,2008,1,Australian Grand Prix,Toyota,2,0.0,12.0,12.5,-0.5,2,1.0,2,1.0,0,0,0,0,0
18,8,2008,1,Australian Grand Prix,Super Aguri,2,0.0,20.0,15.0,5.0,0,0.0,2,1.0,0,0,0,0,0
18,9,2008,1,Australian Grand Prix,Red Bull,2,0.0,11.0,15.5,-4.5,1,0.5,2,1.0,0,0,0,0,0
18,10,2008,1,Australian Grand Prix,Force India,2,0.0,19.0,18.5,0.5,0,0.0,2,1.0,0,0,0,0,0
18,11,2008,1,Australian Grand Prix,Honda,2,0.0,11.0,20.0,-9.0,0,0.0,2,1.0,0,0,0,0,0
19,1,2008,2,Malaysian Grand Prix,McLaren,2,10.0,8.5,4.0,4.5,2,1.0,0,0.0,1,0,0,1,0
19,2,2008,2,Malaysian Grand Prix,BMW Sauber,2,11.0,4.5,4.0,0.5,2,1.0,0,0.0,1,0,0,0,0
19,3,2008,2,Malaysian Grand Prix,Williams,2,0.0,19.0,15.5,3.5,0,0.0,0,0.0,0,0,0,0,0
19,4,2008,2,Malaysian Grand Prix,Renault,2,1.0,10.0,9.5,0.5,1,0.5,0,0.0,0,0,0,0,0
19,5,2008,2,Malaysian Grand Prix,Toro Rosso,2,0.0,16.5,20.0,-3.5,0,0.0,2,1.0,0,0,0,0,0
19,6,2008,2,Malaysian Grand Prix,Ferrari,2,10.0,1.5,10.0,-8.5,2,1.0,1,0.5,1,1,0,0,0
19,7,2008,2,Malaysian Grand Prix,Toyota,2,5.0,6.5,12.5,-6.0,2,1.0,1,0.5,0,0,0,0,0
19,8,2008,2,Malaysian Grand Prix,Super Aguri,2,0.0,20.0,15.5,4.5,0,0.0,0,0.0,0,0,0,0,0
19,9,2008,2,Malaysian Grand Prix,Red Bull,2,2.0,9.0,8.0,1.0,1,0.5,0,0.0,0,0,0,0,0
19,10,2008,2,Malaysian Grand Prix,Force India,2,0.0,18.5,16.0,2.5,0,0.0,1,0.5,0,0,0,0,0
19,11,2008,2,Malaysian Grand Prix,Honda,2,0.0,12.5,11.5,1.0,0,0.0,0,0.0,0,0,0,0,0
20,1,2008,3,Bahrain Grand Prix,McLaren,2,4.0,4.0,9.0,-5.0,2,1.0,0,0.0,0,0,0,1,0
20,2,2008,3,Bahrain Grand Prix,BMW Sauber,2,11.0,3.5,3.5,0.0,2,1.0,0,0.0,1,0,0,0,0
20,3,2008,3,Bahrain Grand Prix,Williams,2,1.0,12.0,11.0,1.0,1,0.5,0,0.0,0,0,0,0,0
20,4,2008,3,Bahrain Grand Prix,Renault,2,0.0,12.0,15.0,-3.0,1,0.5,1,0.5,0,0,0,0,0
20,5,2008,3,Bahrain Grand Prix,Toro Rosso,2,0.0,17.0,18.5,-1.5,0,0.0,1,0.5,0,0,0,0,0
20,6,2008,3,Bahrain Grand Prix,Ferrari,2,18.0,3.0,1.5,1.5,2,1.0,0,0.0,2,1,0,0,0
20,7,2008,3,Bahrain Grand Prix,Toyota,2,3.0,10.0,7.5,2.5,1,0.5,0,0.0,0,0,0,0,0
20,8,2008,3,Bahrain Grand Prix,Super Aguri,2,0.0,21.5,16.5,5.0,0,0.0,0,0.0,0,0,0,0,0
20,9,2008,3,Bahrain Grand Prix,Red Bull,2,2.0,14.0,12.5,1.5,0,0.0,0,0.0,0,0,0,0,0
20,10,2008,3,Bahrain Grand Prix,Force India,2,0.0,19.0,15.5,3.5,0,0.0,0,0.0,0,0,0,0,0
20,11,2008,3,Bahrain Grand Prix,Honda,2,0.0,10.5,16.0,-5.5,1,0.5,1,0.5,0,0,0,0,0
21,1,2008,4,Spanish Grand Prix,McLaren,2,6.0,5.5,10.0,-4.5,2,1.0,1,0.5,1,0,0,1,0
